Filename,KS Line #,Japanese Line,Flagged Term,Meaning,Policy Risk,Suggested Substitution
arcana003.ks,709,「先生を見殺しになんてできないよ！　助けなきゃ！」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,734,「全力で包囲を突破して、その勢いのまま先生を回収して冥魔を振り切って逃げる。これならどう葵ちゃん？」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,792,いきなりミズチが、俺に背を向けて呪文を詠唱し、魔法らしき技を教え子たちに向けて発動させた。[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,829,こいつ……初めから俺に注目したふりをして魔法少女たちに不意打ちする気だったのか。[pcms],少女,young girl,high,girl / she
arcana003.ks,893,丸太のような右腕は、身動きできない三人の魔法少女たちに、まとめて直撃し、吹き飛ばした。[pcms],少女,young girl,high,girl / she
arcana003.ks,950,そして俺の目の前には、吹っ飛ばされてきた教え子たちが、痛々しく倒れていた。[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,964,「せ、先生……先生だけでも……逃げて……」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,995,「バカを言うな。大人が、しかも教師の俺が教え子を置いて逃げるわけにはいかないんだよ！」[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,1004,「お前ら、魔法少女なんだよな？　瞬間移動とか空間を引き裂いて離脱するとか、そういう魔法は無いのか？」[pcms],少女,young girl,high,girl / she
arcana003.ks,1012,「せんせー……そーゆーのは魔法少女じゃなくて、異世界転生した人が使う魔法だから……ジャンル違いだよ……」[pcms],少女,young girl,high,girl / she
arcana003.ks,1033,「そ、それもそうだな。すまん、先生が悪かった。とにかく、なんとかここから逃げようと思うんだが、動けるか？」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,1065,「でも不思議……先生に助け起こしてもらったら、少しだけ元気が戻った気がするよ」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,1116,小声で教え子たちにそう伝えると俺はミズチたちの方に進み出た。もう、他には何も手がない。[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,1148,それでも教師という仕事は気に入ってはいたから、ちゃんと働いていたし、教え子のために死ねるなら悪くないと思う。[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,1152,実を言えば、この破天荒で唐突な冥魔と魔法少女の戦いに巻き込まれたことで、奇妙な充実感を自覚していた。[pcms],少女,young girl,high,girl / she
arcana003.ks,1203,「まあ良かろう……魔法少女どもが仮に回復しても、こやつを見捨てて逃げるとは思えぬしのう」[pcms],少女,young girl,high,girl / she
arcana003.ks,1218,「と、とんでもない！　それは自前でなんとかする。だから、どうか俺と、それから一応は教え子なんで、こいつらの待遇もなるべく穏便なものに……」[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,1227,ちらっ、ちらっと、俺の後ろにいるであろう教え子たちの動向を気にしながらミズチはそう言った。[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,1256,「いいのか？　お前の後ろに隠れてる魔法少女たちのケツ穴をオレの後に続いて犯すことになってもよォ？」[pcms],少女,young girl,high,girl / she
arcana003.ks,1266,「できなきゃ殺す。さあここで宣言しろ。冥魔カクエン様への忠誠の証として、魔法少女たちのケツ穴を犯して穴兄弟になる、と」[pcms],少女,young girl,high,girl / she
arcana003.ks,1288,「それを魔法少女どもが見て絶望し、その魔法力に最高の味付けをしてくれる！　そして……それを冥王復活のために捧げる！」[pcms],少女,young girl,high,girl / she
arcana003.ks,1307,「簡単に倒れるなよァ？　人間？　ちゃんと手加減して殴ってやってんだ。魔法少女どもに見せつけるためになァ！」[pcms],少女,young girl,high,girl / she
arcana003.ks,1338,「そらそらァ～。いいのかぁ？　魔法少女ども？　この男が死んじまうぜ？　ずいぶんと薄情だなァ？」[pcms],少女,young girl,high,girl / she
arcana003.ks,1352,「先生を助けるよ！　ミアちゃん！　葵ちゃん！」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,1398,「そろそろ時間稼ぎに付き合ってやるのは終わりだと、教え子の魔法少女どもに身体でわからせてやれ！　そらァ！」[pcms],少女,young girl,high,girl / she
arcana003.ks,1398,「そろそろ時間稼ぎに付き合ってやるのは終わりだと、教え子の魔法少女どもに身体でわからせてやれ！　そらァ！」[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,1421,「先生っ！」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,1429,「先生っ！」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,1493,起き上がると、教え子たちが俺を囲むようにして立っていた。[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,1557,「あの人間の血を魔法少女どもが浴びたその瞬間に……いったい何が起きたというのじゃ？」[pcms],少女,young girl,high,girl / she
arcana003.ks,1570,「あのね先生。あたしたちたぶん、先生のおかげで、すっごく強くなったみたいなんだよ」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,1602,「いまいち、先生はわかってないんだが」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,1618,「先生はここで見ていてください」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,1672,「魔法少女どもから発する魔力は……さきほどまでとは比べ物にならないほどの強さに……」[pcms],少女,young girl,high,girl / she
arcana003.ks,1687,「二度は言わぬ。ワシに殺されて吸収されるか、魔法少女どもに一矢報いるか、好きな方を選ぶがよい」[pcms],少女,young girl,high,girl / she
arcana003.ks,2080,爆炎が晴れていく中でその詠唱が響き渡り、魔法少女の手のひらから灼熱する炎が轟音と共に放たれた。[pcms],少女,young girl,high,girl / she
arcana003.ks,2120,「むかつくが……そうさせてもらうぜミズチ。魔法少女ども……傷が癒えたら必ずこの借りは返すぜ……おぼえてやがれッ！」[pcms],少女,young girl,high,girl / she
arcana003.ks,2169,「先生のおかげだよ。ありがとう」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,2175,「ありがとうございます先生」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,2185,三人の魔法少女たちは、周辺に冥魔が残っていないのを確かめてから俺の前に戻ってきた。[pcms],少女,young girl,high,girl / she
arcana003.ks,2218,まばゆい光を発した次の瞬間、彼女たちは普段の制服姿に戻った。[pcms],制服,school uniform,high,outfit / attire
arcana003.ks,2222,それこそアニメの魔法少女ものを現実として見せつけられたようで妙な気分だ。[pcms],少女,young girl,high,girl / she
arcana003.ks,2239,「でも、先生の血を浴びてパワーアップしたのは、ちゃんとそのままだよミアちゃん？」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,2316,「そ、それなら、あたしも茜でいいよ、先生？」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,2324,「私も葵でかまいません。それに……先生は命の恩人ですし」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,2491,「えっ？　じゃあ先生は童貞じゃないの？　好きでもない人と、結婚もしてない人と、簡単にできちゃうの？」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,2500,「……頼むから先生のプライバシーにはこれ以上、触れないでくれ」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,2516,「あ、うん……ごめんね、先生？」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,2555,「え……でも先生は真剣にあたしたちのこと考えてくれてる気がするし……」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,2621,「先生、お願い？」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,2664,「えへへ、先生の電話番号とメアド、ゲットしちゃった！」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,2676,と、教え子たちは素直に応じてくれた。[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,2721,「それでは先生、今夜はこれで失礼します」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,2737,「おやすみなさい、先生！」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,2752,現実空間に戻る感覚につい気を取られたその隙を衝かれ、教え子たちは、逃げるかのように走り去ってしまっていた。[pcms],教え子,pupil/student,high,girl / they
